Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;F25;F26;F27;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Fm'25;Fm'26;Fm'27;Fo'1;Fo'2;Fo'3;Fo'4;Fo'5;Fo'6;Fo'7;Fo'8;Fo'9;Fo'10;Fo'11;Fo'12;Fo'13;Fo'14;Fo'15;Fo'16;Fo'17;Fo'18;Fo'19;Fo'20;Fo'21;Fo'22;Fo'23;Fo'24;Fo'25;Fo'26;Fo'27;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;Y(II)25;Y(II)26;Y(II)27;Y(NPQ)1;Y(NPQ)2;Y(NPQ)3;Y(NPQ)4;Y(NPQ)5;Y(NPQ)6;Y(NPQ)7;Y(NPQ)8;Y(NPQ)9;Y(NPQ)10;Y(NPQ)11;Y(NPQ)12;Y(NPQ)13;Y(NPQ)14;Y(NPQ)15;Y(NPQ)16;Y(NPQ)17;Y(NPQ)18;Y(NPQ)19;Y(NPQ)20;Y(NPQ)21;Y(NPQ)22;Y(NPQ)23;Y(NPQ)24;Y(NPQ)25;Y(NPQ)26;Y(NPQ)27;NPQ1;NPQ2;NPQ3;NPQ4;NPQ5;NPQ6;NPQ7;NPQ8;NPQ9;NPQ10;NPQ11;NPQ12;NPQ13;NPQ14;NPQ15;NPQ16;NPQ17;NPQ18;NPQ19;NPQ20;NPQ21;NPQ22;NPQ23;NPQ24;NPQ25;NPQ26;NPQ27;ETR1;ETR2;ETR3;ETR4;ETR5;ETR6;ETR7;ETR8;ETR9;ETR10;ETR11;ETR12;ETR13;ETR14;ETR15;ETR16;ETR17;ETR18;ETR19;ETR20;ETR21;ETR22;ETR23;ETR24;ETR25;ETR26;ETR27;
31.03.20;12:44:31;1;1;0.1132;0.1137;0.1162;0.0740;0.0701;0.0951;0.0975;0.0926;0.0917;0.0975;0.0735;0.0902;0.0667;0.0701;0.0794;0.0765;0.0760;0.0985;0.0623;0.0775;0.0716;0.0662;0.0613;0.0750;0.0480;0.0667;0.0539;0.2926;0.2946;0.2985;0.1686;0.1588;0.2265;0.2304;0.2176;0.2108;0.2578;0.1833;0.2284;0.1657;0.1765;0.1951;0.1897;0.1868;0.2466;0.1373;0.1765;0.1588;0.1480;0.1392;0.1721;0.0985;0.1466;0.1118;0.1132;0.1137;0.1162;0.0740;0.0701;0.0951;0.0975;0.0926;0.0917;0.0975;0.0735;0.0902;0.0667;0.0701;0.0794;0.0765;0.0760;0.0985;0.0623;0.0775;0.0716;0.0662;0.0613;0.0750;0.0480;0.0667;0.0539;0.613;0.614;0.611;0.561;0.559;0.580;0.577;0.574;0.565;0.622;0.599;0.605;0.598;0.603;0.593;0.597;0.593;0.600;0.546;0.561;0.549;0.553;0.560;0.564;0.512;0.545;0.518;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;
31.03.20;12:45:02;2;1;0.1132;0.1172;0.1196;0.0701;0.0691;0.0931;0.0995;0.0961;0.0946;0.0980;0.0740;0.0907;0.0672;0.0730;0.0794;0.0765;0.0770;0.0985;0.0652;0.0794;0.0755;0.0637;0.0608;0.0716;0.0446;0.0603;0.0495;0.2922;0.2922;0.2951;0.1676;0.1588;0.2230;0.2270;0.2137;0.2054;0.2534;0.1804;0.2240;0.1623;0.1730;0.1902;0.1863;0.1833;0.2422;0.1358;0.1716;0.1574;0.1441;0.1348;0.1652;0.0956;0.1412;0.1069;0.1132;0.1134;0.1157;0.0738;0.0701;0.0945;0.0969;0.0919;0.0906;0.0969;0.0731;0.0895;0.0661;0.0696;0.0786;0.0759;0.0754;0.0978;0.0620;0.0765;0.0713;0.0654;0.0604;0.0737;0.0473;0.0655;0.0528;0.612;0.599;0.595;0.582;0.565;0.582;0.562;0.550;0.539;0.613;0.590;0.595;0.586;0.578;0.582;0.589;0.580;0.593;0.520;0.537;0.520;0.558;0.549;0.567;0.533;0.573;0.537;0.000;0.002;0.002;0.000;0.000;0.000;0.004;0.004;0.006;0.004;0.004;0.005;0.005;0.004;0.006;0.005;0.004;0.005;0.003;0.007;0.002;0.000;0.008;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;  0.3;
31.03.20;12:45:33;3;11;0.1721;0.1706;0.1775;0.0985;0.0922;0.1289;0.1338;0.1284;0.1225;0.1505;0.1088;0.1333;0.1015;0.1088;0.1196;0.1206;0.1191;0.1569;0.0828;0.1029;0.0936;0.0843;0.0809;0.0990;0.0623;0.0882;0.0701;0.2740;0.2740;0.2760;0.1480;0.1422;0.1961;0.2025;0.1868;0.1789;0.2319;0.1652;0.2049;0.1510;0.1618;0.1775;0.1784;0.1745;0.2309;0.1196;0.1515;0.1363;0.1265;0.1225;0.1495;0.0863;0.1260;0.0971;0.1103;0.1105;0.1126;0.0698;0.0666;0.0893;0.0922;0.0866;0.0851;0.0936;0.0704;0.0863;0.0642;0.0677;0.0763;0.0746;0.0739;0.0959;0.0584;0.0722;0.0666;0.0615;0.0578;0.0704;0.0449;0.0621;0.0502;0.372;0.377;0.357;0.334;0.352;0.343;0.339;0.312;0.315;0.351;0.341;0.349;0.328;0.327;0.326;0.324;0.317;0.321;0.307;0.320;0.313;0.333;0.340;0.338;0.278;0.300;0.278;0.038;0.044;0.048;0.082;0.066;0.088;0.082;0.100;0.101;0.065;0.066;0.066;0.058;0.057;0.059;0.040;0.041;0.041;0.087;0.099;0.100;0.097;0.081;0.089;0.089;0.097;0.097;0.016;0.020;0.020;0.035;0.027;0.039;0.035;0.043;0.043;0.027;0.027;0.027;0.024;0.024;0.024;0.016;0.016;0.016;0.035;0.043;0.043;0.043;0.035;0.039;0.035;0.039;0.039;  2.0;  2.1;  2.0;  1.8;  1.9;  1.9;  1.9;  1.7;  1.7;  1.9;  1.9;  1.9;  1.8;  1.8;  1.8;  1.8;  1.7;  1.8;  1.7;  1.8;  1.7;  1.8;  1.9;  1.9;  1.5;  1.6;  1.5;
31.03.20;12:46:03;4;21;0.1765;0.1765;0.1824;0.1000;0.0971;0.1328;0.1422;0.1338;0.1304;0.1475;0.1103;0.1348;0.1005;0.1083;0.1176;0.1162;0.1142;0.1510;0.0809;0.1005;0.0936;0.0843;0.0819;0.0975;0.0623;0.0882;0.0672;0.2569;0.2574;0.2583;0.1358;0.1279;0.1794;0.1902;0.1775;0.1696;0.2196;0.1549;0.1902;0.1426;0.1515;0.1672;0.1696;0.1647;0.2176;0.1059;0.1343;0.1201;0.1118;0.1074;0.1319;0.0770;0.1132;0.0877;0.1074;0.1077;0.1095;0.0669;0.0633;0.0857;0.0895;0.0845;0.0829;0.0915;0.0685;0.0836;0.0626;0.0658;0.0744;0.0730;0.0721;0.0936;0.0549;0.0681;0.0625;0.0578;0.0542;0.0662;0.0423;0.0588;0.0476;0.313;0.314;0.294;0.264;0.241;0.260;0.253;0.246;0.231;0.328;0.288;0.291;0.296;0.285;0.296;0.315;0.307;0.306;0.236;0.252;0.220;0.246;0.237;0.260;0.191;0.221;0.235;0.084;0.086;0.095;0.141;0.145;0.156;0.128;0.137;0.147;0.099;0.113;0.119;0.096;0.104;0.103;0.075;0.085;0.079;0.175;0.178;0.192;0.187;0.175;0.170;0.178;0.178;0.162;0.035;0.035;0.039;0.059;0.059;0.067;0.051;0.055;0.059;0.043;0.047;0.051;0.039;0.043;0.043;0.031;0.035;0.031;0.075;0.078;0.082;0.082;0.075;0.075;0.071;0.075;0.067;  3.3;  3.3;  3.1;  2.8;  2.5;  2.7;  2.7;  2.6;  2.4;  3.4;  3.0;  3.1;  3.1;  3.0;  3.1;  3.3;  3.2;  3.2;  2.5;  2.6;  2.3;  2.6;  2.5;  2.7;  2.0;  2.3;  2.5;
31.03.20;12:46:34;5;36;0.1858;0.1868;0.1912;0.1074;0.1029;0.1426;0.1520;0.1422;0.1392;0.1495;0.1113;0.1363;0.0995;0.1078;0.1196;0.1201;0.1167;0.1544;0.0809;0.1010;0.0926;0.0868;0.0804;0.0980;0.0632;0.0902;0.0721;0.2490;0.2485;0.2505;0.1382;0.1270;0.1784;0.1868;0.1730;0.1667;0.2093;0.1490;0.1833;0.1373;0.1475;0.1613;0.1642;0.1569;0.2093;0.0990;0.1250;0.1137;0.1064;0.1005;0.1250;0.0775;0.1123;0.0853;0.1060;0.1061;0.1081;0.0675;0.0631;0.0854;0.0888;0.0835;0.0822;0.0897;0.0673;0.0822;0.0615;0.0650;0.0732;0.0720;0.0705;0.0920;0.0530;0.0656;0.0607;0.0563;0.0524;0.0644;0.0424;0.0585;0.0469;0.254;0.249;0.237;0.223;0.189;0.201;0.186;0.178;0.165;0.286;0.253;0.257;0.275;0.269;0.258;0.269;0.256;0.262;0.183;0.192;0.185;0.184;0.200;0.216;0.184;0.197;0.155;0.110;0.119;0.121;0.139;0.163;0.168;0.155;0.166;0.176;0.135;0.142;0.149;0.123;0.117;0.127;0.099;0.119;0.109;0.229;0.234;0.229;0.230;0.225;0.215;0.172;0.186;0.202;0.043;0.047;0.047;0.055;0.063;0.067;0.059;0.063;0.067;0.059;0.059;0.063;0.051;0.047;0.051;0.039;0.047;0.043;0.098;0.102;0.098;0.098;0.098;0.094;0.067;0.075;0.078;  4.6;  4.5;  4.3;  4.0;  3.4;  3.6;  3.4;  3.2;  3.0;  5.1;  4.6;  4.6;  5.0;  4.8;  4.7;  4.8;  4.6;  4.7;  3.3;  3.5;  3.3;  3.3;  3.6;  3.9;  3.3;  3.5;  2.8;
31.03.20;12:47:04;6;56;0.2020;0.2039;0.2113;0.1167;0.1078;0.1525;0.1618;0.1515;0.1451;0.1627;0.1196;0.1480;0.1093;0.1181;0.1309;0.1304;0.1284;0.1686;0.0824;0.1025;0.0951;0.0882;0.0819;0.1000;0.0652;0.0912;0.0706;0.2412;0.2402;0.2397;0.1324;0.1225;0.1701;0.1804;0.1667;0.1588;0.2039;0.1431;0.1775;0.1338;0.1436;0.1569;0.1623;0.1588;0.2064;0.0971;0.1201;0.1113;0.1029;0.1000;0.1206;0.0735;0.1064;0.0824;0.1046;0.1046;0.1060;0.0661;0.0620;0.0835;0.0873;0.0820;0.0802;0.0887;0.0661;0.0810;0.0608;0.0643;0.0722;0.0716;0.0709;0.0914;0.0524;0.0642;0.0600;0.0553;0.0523;0.0632;0.0412;0.0569;0.0460;0.163;0.151;0.119;0.119;0.120;0.104;0.103;0.091;0.086;0.202;0.164;0.166;0.183;0.177;0.166;0.196;0.191;0.183;0.152;0.147;0.145;0.143;0.181;0.171;0.113;0.143;0.143;0.150;0.153;0.176;0.186;0.202;0.222;0.197;0.217;0.227;0.168;0.184;0.184;0.156;0.156;0.166;0.118;0.119;0.131;0.246;0.273;0.254;0.262;0.231;0.247;0.227;0.234;0.228;0.055;0.055;0.063;0.067;0.075;0.082;0.071;0.078;0.082;0.067;0.071;0.071;0.059;0.059;0.063;0.043;0.043;0.047;0.102;0.118;0.106;0.110;0.098;0.106;0.086;0.094;0.090;  4.6;  4.2;  3.3;  3.3;  3.4;  2.9;  2.9;  2.6;  2.4;  5.7;  4.6;  4.6;  5.1;  5.0;  4.6;  5.5;  5.4;  5.1;  4.2;  4.1;  4.1;  4.0;  5.1;  4.8;  3.2;  4.0;  4.0;
31.03.20;12:47:35;7;81;0.2015;0.2049;0.2044;0.1157;0.1103;0.1525;0.1632;0.1520;0.1461;0.1691;0.1235;0.1534;0.1123;0.1201;0.1333;0.1353;0.1328;0.1730;0.0863;0.1054;0.0990;0.0892;0.0848;0.1020;0.0662;0.0936;0.0725;0.2338;0.2368;0.2338;0.1279;0.1196;0.1686;0.1775;0.1618;0.1554;0.1990;0.1422;0.1740;0.1324;0.1402;0.1539;0.1578;0.1534;0.2020;0.0926;0.1162;0.1039;0.0961;0.0946;0.1147;0.0706;0.1000;0.0779;0.1032;0.1039;0.1049;0.0650;0.0612;0.0831;0.0866;0.0808;0.0794;0.0877;0.0659;0.0803;0.0605;0.0636;0.0716;0.0707;0.0698;0.0905;0.0511;0.0631;0.0578;0.0533;0.0507;0.0616;0.0403;0.0550;0.0446;0.138;0.135;0.126;0.096;0.078;0.096;0.080;0.061;0.060;0.150;0.131;0.118;0.152;0.143;0.134;0.143;0.134;0.143;0.069;0.093;0.047;0.071;0.104;0.111;0.063;0.064;0.069;0.173;0.173;0.192;0.217;0.229;0.232;0.211;0.241;0.249;0.196;0.191;0.210;0.170;0.173;0.183;0.145;0.156;0.154;0.258;0.310;0.301;0.276;0.287;0.297;0.219;0.256;0.236;0.063;0.063;0.071;0.078;0.082;0.086;0.075;0.086;0.090;0.075;0.071;0.078;0.063;0.063;0.067;0.051;0.055;0.055;0.122;0.129;0.133;0.133;0.118;0.125;0.098;0.118;0.110;  5.6;  5.5;  5.1;  3.9;  3.2;  3.9;  3.2;  2.5;  2.4;  6.1;  5.3;  4.8;  6.2;  5.8;  5.4;  5.8;  5.4;  5.8;  2.8;  3.8;  1.9;  2.9;  4.2;  4.5;  2.5;  2.6;  2.8;
31.03.20;12:48:05;8;111;0.2093;0.2113;0.2113;0.1206;0.1147;0.1559;0.1652;0.1534;0.1466;0.1784;0.1279;0.1569;0.1186;0.1255;0.1392;0.1422;0.1392;0.1814;0.0853;0.1074;0.0985;0.0887;0.0863;0.1034;0.0657;0.0926;0.0730;0.2260;0.2250;0.2245;0.1230;0.1157;0.1603;0.1730;0.1583;0.1510;0.1946;0.1368;0.1691;0.1275;0.1333;0.1471;0.1539;0.1490;0.1966;0.0897;0.1118;0.1020;0.0961;0.0917;0.1113;0.0691;0.0975;0.0770;0.1016;0.1016;0.1030;0.0637;0.0602;0.0810;0.0855;0.0799;0.0782;0.0869;0.0647;0.0792;0.0595;0.0621;0.0701;0.0699;0.0689;0.0894;0.0502;0.0618;0.0572;0.0533;0.0499;0.0606;0.0398;0.0543;0.0443;0.074;0.061;0.059;0.000;0.000;0.028;0.045;0.031;0.029;0.083;0.065;0.072;0.069;0.059;0.053;0.076;0.066;0.077;0.049;0.039;0.000;0.077;0.059;0.070;0.000;0.050;0.000;0.212;0.224;0.234;0.274;0.274;0.262;0.202;0.243;0.252;0.227;0.240;0.239;0.214;0.189;0.194;0.176;0.187;0.185;0.299;0.328;0.361;0.271;0.282;0.284;0.298;0.284;0.313;0.075;0.078;0.082;0.094;0.094;0.102;0.082;0.094;0.098;0.082;0.086;0.086;0.075;0.082;0.082;0.059;0.063;0.063;0.133;0.145;0.141;0.133;0.129;0.137;0.106;0.125;0.114;  4.1;  3.4;  3.3;  0.0;  0.0;  1.5;  2.5;  1.7;  1.6;  4.6;  3.6;  4.0;  3.8;  3.3;  3.0;  4.2;  3.7;  4.3;  2.7;  2.2;  0.0;  4.2;  3.3;  3.9;  0.0;  2.8;  0.0;
31.03.20;12:48:36;9;146;0.2083;0.2098;0.2083;0.1167;0.1088;0.1500;0.1642;0.1515;0.1446;0.1765;0.1260;0.1559;0.1147;0.1225;0.1333;0.1431;0.1377;0.1814;0.0868;0.1074;0.0975;0.0907;0.0863;0.1039;0.0662;0.0922;0.0740;0.2152;0.2157;0.2176;0.1181;0.1118;0.1534;0.1652;0.1515;0.1451;0.1892;0.1324;0.1632;0.1230;0.1289;0.1412;0.1510;0.1436;0.1902;0.0863;0.1088;0.0980;0.0946;0.0902;0.1083;0.0657;0.0936;0.0725;0.0994;0.0996;0.1015;0.0623;0.0591;0.0793;0.0836;0.0781;0.0766;0.0858;0.0637;0.0779;0.0585;0.0611;0.0687;0.0693;0.0677;0.0881;0.0491;0.0608;0.0559;0.0528;0.0494;0.0597;0.0386;0.0530;0.0428;0.032;0.027;0.043;0.000;0.000;0.000;0.000;0.000;0.000;0.067;0.048;0.045;0.068;0.049;0.056;0.052;0.041;0.046;0.000;0.000;0.000;0.000;0.000;0.041;0.000;0.000;0.000;0.233;0.238;0.261;0.298;0.298;0.320;0.282;0.305;0.313;0.247;0.234;0.237;0.239;0.224;0.218;0.149;0.189;0.219;0.373;0.386;0.386;0.361;0.354;0.333;0.334;0.361;0.348;0.090;0.090;0.094;0.106;0.106;0.118;0.098;0.110;0.114;0.090;0.098;0.098;0.086;0.094;0.094;0.063;0.075;0.075;0.149;0.157;0.157;0.141;0.137;0.149;0.125;0.141;0.133;  2.3;  2.0;  3.1;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  4.9;  3.5;  3.3;  4.9;  3.6;  4.1;  3.8;  3.0;  3.4;  0.0;  0.0;  0.0;  0.0;  0.0;  3.0;  0.0;  0.0;  0.0;
31.03.20;12:49:06;10;186;0.2113;0.2103;0.2108;0.1176;0.1108;0.1529;0.1632;0.1529;0.1426;0.1833;0.1289;0.1583;0.1176;0.1230;0.1363;0.1471;0.1407;0.1848;0.0853;0.1059;0.0971;0.0917;0.0863;0.1044;0.0632;0.0887;0.0696;0.2064;0.2054;0.2059;0.1137;0.1069;0.1466;0.1603;0.1461;0.1387;0.1819;0.1270;0.1544;0.1162;0.1216;0.1338;0.1480;0.1407;0.1828;0.0848;0.1025;0.0931;0.0873;0.0824;0.1015;0.0583;0.0858;0.0667;0.0975;0.0974;0.0989;0.0611;0.0577;0.0774;0.0823;0.0767;0.0748;0.0842;0.0624;0.0758;0.0569;0.0594;0.0669;0.0687;0.0670;0.0865;0.0486;0.0588;0.0543;0.0505;0.0470;0.0575;0.0360;0.0504;0.0407;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.298;0.305;0.313;0.327;0.327;0.354;0.305;0.327;0.341;0.298;0.305;0.327;0.298;0.313;0.313;0.220;0.248;0.257;0.380;0.419;0.414;0.408;0.408;0.408;0.408;0.414;0.403;0.106;0.110;0.114;0.122;0.122;0.137;0.110;0.122;0.129;0.106;0.110;0.122;0.106;0.114;0.114;0.071;0.082;0.086;0.153;0.180;0.176;0.173;0.173;0.173;0.173;0.176;0.169;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;
