Treatment,Fv/Fm(Av),Fv/Fm(StDev),Time
White,0.653,0.029,0
White,0.657,0.033,0.165
White,0.653,0.029,0.33
White,0.657,0.033,0.495
White,0.66,0.029,0.66
White,0.66,0.029,0.825
White,0.66,0.029,0.99
White,0.66,0.029,1.155
White,0.66,0.029,1.32
White,0.66,0.029,1.485
White,0.653,0.029,1.65
White,0.657,0.033,1.815
White,0.66,0.029,1.98
White,0.66,0.029,2.145
White,0.663,0.029,2.31
White,0.663,0.029,2.475
White,0.667,0.033,2.64
White,0.663,0.029,2.805
White,0.66,0.029,2.97
White,0.657,0.033,3.135
White,0.657,0.033,3.3
White,0.65,0.029,3.465
White,0.65,0.029,3.63
White,0.65,0.029,3.795
White,0.65,0.029,3.96
White,0.65,0.029,4.125
White,0.65,0.029,4.29
White,0.65,0.029,4.455
White,0.65,0.029,4.62
White,0.65,0.029,4.785
White,0.65,0.029,4.95
White,0.65,0.029,5.115
White,0.65,0.029,5.28
White,0.653,0.029,5.445
White,0.653,0.029,5.61
White,0.653,0.029,5.775
White,0.657,0.025,5.94
White,0.653,0.026,6.105
White,0.66,0.029,6.27
White,0.66,0.029,6.435
White,0.66,0.029,6.6
White,0.66,0.029,6.765
White,0.663,0.029,6.93
White,0.667,0.025,7.095
White,0.667,0.025,7.26
White,0.667,0.025,7.425
White,0.667,0.025,7.59
White,0.667,0.025,7.755
White,0.67,0.024,7.92
White,0.67,0.024,8.085
White,0.67,0.024,8.25
White,0.67,0.024,8.415
White,0.67,0.024,8.58
White,0.67,0.022,8.745
White,0.673,0.021,8.91
White,0.677,0.025,9.075
White,0.673,0.021,9.24
White,0.677,0.025,9.405
White,0.68,0.024,9.57
White,0.677,0.025,9.735
White,0.68,0.024,9.9
White,0.68,0.024,10.065
White,0.68,0.024,10.23
White,0.68,0.024,10.395
White,0.68,0.024,10.56
White,0.677,0.025,10.725
White,0.68,0.024,10.89
White,0.68,0.024,11.055
White,0.68,0.024,11.22
White,0.677,0.025,11.385
White,0.677,0.025,11.55
White,0.677,0.025,11.715
White,0.677,0.025,11.88
White,0.68,0.022,12.045
White,0.683,0.021,12.21
White,0.683,0.021,12.375
White,0.683,0.021,12.54
White,0.687,0.025,12.705
White,0.687,0.025,12.87
White,0.687,0.025,13.035
White,0.69,0.022,13.2
White,0.693,0.021,13.365
White,0.693,0.021,13.53
White,0.69,0.022,13.695
White,0.69,0.022,13.86
White,0.687,0.025,14.025
White,0.687,0.025,14.19
White,0.687,0.025,14.355
White,0.687,0.025,14.52
White,0.687,0.025,14.685
White,0.687,0.025,14.85
White,0.683,0.021,15.015
White,0.683,0.021,15.18
White,0.68,0.022,15.345
White,0.68,0.022,15.51
White,0.677,0.025,15.675
White,0.677,0.025,15.84
White,0.677,0.025,16.005
RGB,0.65,0.022,0
RGB,0.65,0.022,0.165
RGB,0.65,0.022,0.33
RGB,0.65,0.022,0.495
RGB,0.65,0.022,0.66
RGB,0.65,0.022,0.825
RGB,0.65,0.022,0.99
RGB,0.653,0.017,1.155
RGB,0.653,0.017,1.32
RGB,0.653,0.017,1.485
RGB,0.647,0.021,1.65
RGB,0.647,0.021,1.815
RGB,0.65,0.022,1.98
RGB,0.657,0.021,2.145
RGB,0.657,0.021,2.31
RGB,0.657,0.021,2.475
RGB,0.657,0.021,2.64
RGB,0.657,0.021,2.805
RGB,0.657,0.021,2.97
RGB,0.657,0.021,3.135
RGB,0.65,0.016,3.3
RGB,0.647,0.021,3.465
RGB,0.647,0.021,3.63
RGB,0.647,0.021,3.795
RGB,0.647,0.021,3.96
RGB,0.647,0.021,4.125
RGB,0.647,0.021,4.29
RGB,0.647,0.021,4.455
RGB,0.65,0.024,4.62
