Day5 Rep1,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep2,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep3,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep4,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev,,Day5 Rep5,WhitePARII_Av,WhitePARII_StDev,WhiteETRII_Av,WhiteETRII_StDev,RGBPARII_Av,RGBPARII_StDev,RGBETRII_Av,RGBETRII_StDev,RBPARII_Av,RBPARII_StDev,RBETRII_Av,RBETRII_StDev
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan,,,0,0,nan,nan,0,0,nan,nan,0,0,nan,nan
,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0
,0.954286267,0.008464189,0.923583034,0.00897473,0.957698733,0.018556708,0.92779444,0.017849586,0.9388298,0.019887801,0.908630684,0.017954964,,,0.8960736,0.020409754,0.870966696,0.020317996,0.870379733,0.028730824,0.848776605,0.02612803,0.851109333,0.018504522,0.826642058,0.016828273,,,0.888646467,0.01843908,0.859265098,0.01530825,0.846091,0.01113663,0.816359742,0.011110589,0.852113,0.01547861,0.814611679,0.015104821,,,0.9430452,0.028172836,0.899606462,0.027350525,0.944651067,0.007887569,0.908746068,0.009337548,0.947461333,0.015473402,0.903017139,0.013838981,,,0.9436474,0.010302138,0.907336418,0.011905793,0.958501667,0.017218661,0.923316339,0.014804228,0.945454,0.015147056,0.906271151,0.014022252
,1.908572533,0.016928379,1.854256969,0.015137051,1.915397467,0.037113417,1.851904616,0.033072177,1.8776596,0.039775603,1.815514475,0.037122635,,,1.7921472,0.040819507,1.752592059,0.039122427,1.740759467,0.057461648,1.697505538,0.050718838,1.702218667,0.037009043,1.663511519,0.032795767,,,1.777292933,0.036878161,1.733117311,0.028753361,1.692182,0.022273261,1.634274335,0.022482855,1.704226,0.030957219,1.640122401,0.02812401,,,1.8860904,0.056345671,1.809409968,0.051149188,1.889302133,0.015775137,1.818374913,0.019176001,1.894922667,0.030946805,1.812255279,0.028547974,,,1.8872948,0.020604277,1.821629322,0.020975495,1.917003333,0.034437323,1.842160293,0.032739266,1.890908,0.030294112,1.817846145,0.026023366
,10.49714893,0.093106084,9.521945221,0.056909833,10.53468607,0.204123791,9.482136117,0.136716587,10.3271278,0.218765814,9.443819754,0.211406141,,,9.8568096,0.224507289,9.24863663,0.196249189,9.574177067,0.316039063,8.91739784,0.174842883,9.362202667,0.203549737,8.832383246,0.17044384,,,9.775111133,0.202829884,9.067196938,0.160903038,9.307001,0.122502934,8.5963705,0.108760408,9.373243,0.170264706,8.72823405,0.138387319,,,10.3734972,0.309901193,9.32234764,0.138593938,10.39116173,0.086763254,9.548008503,0.150019871,10.42207467,0.170207427,9.571475907,0.115781435,,,10.3801214,0.113323523,9.334191257,0.068456599,10.54351833,0.189405276,9.329662457,0.284786721,10.399994,0.166617615,9.528462273,0.15475974
,29.58287427,0.262389873,21.8924816,0.333564829,29.68866073,0.575257957,22.11091626,0.193237447,29.1037238,0.616521839,22.12026803,0.676425935,,,27.7782816,0.63270236,23.36599774,0.862629831,26.98177173,0.890655542,21.6942739,0.615169499,26.38438933,0.573640167,21.95191804,0.944738647,,,27.54804047,0.571611491,23.0420771,1.047484172,26.228821,0.34523554,21.84697977,0.790989288,26.415503,0.4798369,22.64604415,0.268378572,,,29.2344012,0.873357908,22.88949184,0.420475506,29.28418307,0.244514624,24.32936405,1.359775685,29.37130133,0.479675475,24.07861114,0.600171131,,,29.2530694,0.319366292,21.70103664,0.048581353,29.71355167,0.533778506,22.18018005,0.382770598,29.309074,0.469558733,22.47399358,0.15025316
,52.48574467,0.465530419,35.63840231,0.192862659,52.67343033,1.020618956,36.04623236,0.376892999,51.635639,1.093829069,35.48973445,1.038006589,,,49.284048,1.122536445,38.6961173,1.655028437,47.87088533,1.580195316,36.00348047,1.038145269,46.81101333,1.017748684,36.02143597,1.243122803,,,48.87555567,1.01414942,38.89401331,1.520486792,46.535005,0.612514669,37.12636568,1.338455047,46.866215,0.851323532,38.33162991,0.482337582,,,51.867486,1.549505965,38.63120702,0.517381896,51.95580867,0.433816268,40.99835155,2.45526446,52.11037333,0.851037133,39.68887158,1.041249196,,,51.900607,0.566617614,36.91052823,0.19018929,52.71759167,0.947026382,37.46829503,0.726090512,51.99997,0.833088074,36.66262885,0.152182871
,76.34290133,0.677135155,50.91419375,0.299072911,76.61589867,1.484536663,51.09525543,0.705162365,75.106384,1.591024101,49.35871771,1.175086404,,,71.685888,1.632780283,54.31418118,2.068048429,69.63037867,2.298465914,51.13659823,1.522278967,68.08874667,1.480361722,50.22224284,1.233645147,,,71.09171733,1.475126429,55.02411598,1.580088995,67.68728,0.890930427,52.9093956,1.641965504,68.16904,1.238288774,54.03578516,0.672763746,,,75.443616,2.253826859,55.34395557,0.349635154,75.57208533,0.631005481,58.08988219,2.837692033,75.79690667,1.237872193,56.2746244,1.242464,,,75.491792,0.824171075,53.23382182,0.210505999,76.68013333,1.377492919,53.99644539,1.232520318,75.63632,1.211764471,52.29413091,0.273184925
