Wavelength,RGB
400.354,0.03
400.725,-0.01
401.097,0.02
401.468,0.02
401.839,0.04
402.21,0.03
402.581,0.06
402.952,-0.01
403.323,0.03
403.694,0.01
404.065,-0.01
404.436,-0.02
404.807,0.04
405.178,0.03
405.549,0.05
405.92,0.02
406.291,0.02
406.661,0.01
407.032,0.01
407.403,0.03
407.773,0.04
408.144,-0.01
408.514,-0.02
408.885,0.02
409.255,0.01
409.626,-0.01
409.996,0.02
410.367,0.02
410.737,0.04
411.107,0
411.478,0
411.848,0
412.218,0.02
412.588,0.03
412.959,0.02
413.329,0.02
413.699,0.01
414.069,0.05
414.439,0.04
414.809,0.03
415.179,0
415.549,-0.03
415.919,0.02
416.288,0.04
416.658,0.03
417.028,0.03
417.398,0
417.767,0
418.137,0.01
418.507,-0.01
418.876,0.03
419.246,0.03
419.615,0.03
419.985,0.03
420.354,0.03
420.724,0.05
421.093,0.03
421.462,0.04
421.832,0.02
422.201,0
422.57,-0.01
422.94,0.04
423.309,0.02
423.678,0.01
424.047,-0.01
424.416,0.03
424.785,-0.01
425.154,0.05
425.523,0.02
425.892,0.05
426.261,0
426.63,0.03
426.999,0.04
427.367,0.01
427.736,0.02
428.105,0.01
428.474,0.01
428.842,0.02
429.211,0
429.579,0.03
429.948,0.04
430.316,0
430.685,-0.01
431.053,0.04
431.422,0.03
431.79,0.03
432.158,0.02
432.527,0.04
432.895,0.04
433.263,0.01
433.631,0.03
434,0.03
434.368,0.02
434.736,0.04
435.104,0.02
435.472,0.04
435.84,0.03
436.208,0.04
436.576,0.04
436.944,0.06
437.311,0.02
437.679,0.05
438.047,0.04
438.415,0.07
438.782,0.04
439.15,0.05
439.518,0.04
439.885,0.03
440.253,0.06
440.62,0.06
440.988,0.06
441.355,0.06
441.723,0.08
442.09,0.07
442.458,0.08
442.825,0.09
443.192,0.08
443.559,0.1
443.927,0.08
444.294,0.12
444.661,0.09
445.028,0.12
445.395,0.12
445.762,0.14
446.129,0.15
446.496,0.14
446.863,0.14
447.23,0.17
447.597,0.17
447.963,0.16
448.33,0.19
448.697,0.2
449.064,0.22
449.43,0.22
449.797,0.25
450.164,0.24
450.53,0.28
450.897,0.27
451.263,0.27
451.63,0.3
451.996,0.36
452.362,0.34
452.729,0.4
453.095,0.36
453.461,0.4
453.827,0.43
454.194,0.47
454.56,0.48
454.926,0.51
455.292,0.53
455.658,0.54
456.024,0.6
456.39,0.59
456.756,0.68
457.122,0.71
457.488,0.7
457.854,0.77
458.22,0.84
458.585,0.86
458.951,0.92
459.317,0.99
459.682,1.01
460.048,1.12
460.414,1.2
460.779,1.31
461.145,1.39
461.51,1.43
461.876,1.5
462.241,1.56
462.606,1.68
462.972,1.81
463.337,1.95
463.702,2.04
464.067,2.2
464.433,2.24
464.798,2.35
465.163,2.4
465.528,2.69
465.893,2.85
466.258,2.94
466.623,2.99
466.988,3.19
467.353,3.29
467.718,3.45
468.083,3.4
468.447,3.58
468.812,3.61
469.177,3.79
469.542,3.86
469.906,3.82
470.271,3.98
470.635,3.96
471,4.09
471.364,4.01
471.729,3.91
472.093,3.93
472.458,3.86
472.822,3.97
473.186,3.83
473.551,3.77
473.915,3.58
474.279,3.57
474.643,3.4
475.007,3.4
475.372,3.25
475.736,3.14
476.1,3.01
476.464,2.88
476.828,2.81
477.191,2.69
477.555,2.56
477.919,2.46
478.283,2.39
478.647,2.26
479.01,2.21
479.374,2.11
479.738,1.99
480.101,1.97
480.465,1.84
480.829,1.84
481.192,1.76
481.556,1.66
481.919,1.66
482.282,1.62
482.646,1.54
483.009,1.52
483.372,1.48
483.736,1.43
484.099,1.4
484.462,1.36
484.825,1.35
485.188,1.3
485.551,1.27
485.914,1.26
486.277,1.22
486.64,1.18
487.003,1.17
487.366,1.13
487.729,1.14
488.092,1.07
488.455,1.06
488.817,1.02
