Rep,ETR(II)Max,ETR(II)MaxStdev,OJIP1s,OJIP1sStdev,Light
1,197.4978,7.7654,0.8713,0.0021,White
2,208.2968,6.4699,0.8753,0.0037,White
3,199.7597,13.113,0.883,0.0022,White
4,185.4644,6.9238,0.892,0.0033,White
5,186.1278,7.2601,0.9017,0.0031,White
6,207.89,6.25,0.883,0.004,White
1,247.2369,4.081,0.839,0.0057,RGB
2,249.9486,4.3225,0.8473,0.0053,RGB
3,234.7143,2.7137,0.8517,0.0042,RGB
4,222.6251,3.5814,0.8667,0.0026,RGB
5,228.3653,3.9449,0.8667,0.0047,RGB
6,239.46,0.6,0.846,0.002,RGB
1,272.9459,6.0271,0.8257,0.006,RB
2,280.1348,9.2257,0.8187,0.0123,RB
3,266.1658,6.4411,0.8197,0.0097,RB
4,242.2239,7.7706,0.844,0.0051,RB
5,247.7695,3.9317,0.8483,0.0047,RB
6,242.27,7.11,0.847,0.006,RB
