Time,whiteAvR1,whiteAvR2,whiteAvR3,whiteAvR4,whiteAvR5,whiteStdevR1,whiteStdevR2,whiteStdevR3,whiteStdevR4,whiteStdevR5,rgbAvR1,rgbAvR2,rgbAvR3,rgbAvR4,rgbAvR5,rgbStdevR1,rgbStdevR2,rgbStdevR3,rgbStdevR4,rgbStdevR5,rbAvR1,rbAvR2,rbAvR3,rbAvR4,rbAvR5,rbStdevR1,rbStdevR2,rbStdevR3,rbStdevR4,rbStdevR5
184.513,0.998,0.9987,0.9977,0.9957,0.997,0.0008,0.0009,0.0012,0.0012,0.0008,0.999,0.9983,0.9987,0.9977,0.997,0.0008,0.0012,0.0005,0.0019,0.0022,0.9997,0.9983,0.9967,0.999,0.9997,0.0005,0.0005,0.0012,0.0008,0.0005
185.521,0.999,0.999,0.9983,0.9967,0.997,0.0008,0.0008,0.0009,0.0012,0.0008,0.9987,0.999,0.9983,0.9983,0.9983,0.0009,0.0008,0.0009,0.0017,0.0009,0.9997,0.9983,0.9963,0.999,0.999,0.0005,0.0005,0.0009,0.0008,0.0008
186.53,0.998,0.9983,0.9983,0.9967,0.997,0.0014,0.0005,0.0009,0.0019,0.0008,0.999,0.9993,0.998,0.9983,0.9973,0.0008,0.0009,0.0008,0.0009,0.0009,0.9997,0.999,0.9957,0.998,0.9997,0.0005,0.0008,0.0009,0.0008,0.0005
187.538,0.9997,0.9983,0.9987,0.9967,0.9983,0.0005,0.0005,0.0012,0.0012,0.0005,0.9993,0.9977,0.998,0.9983,0.9967,0.0009,0.0012,0.0008,0.0009,0.0019,0.9997,0.9983,0.996,0.9987,1,0.0005,0.0005,0.0014,0.0012,0
188.546,0.998,0.998,0.9973,0.997,0.9977,0.0008,0.0008,0.0005,0.0014,0.0009,0.9993,0.9993,0.997,0.998,0.997,0.0009,0.0009,0,0.0022,0.0022,0.9997,0.9983,0.9953,0.999,0.9997,0.0005,0.0005,0.0012,0,0.0005
189.554,0.9987,0.9987,0.9987,0.9977,0.9983,0.0009,0.0009,0.0005,0.0005,0.0005,1,0.999,0.997,0.9987,0.998,0,0.0008,0,0.0012,0.0014,0.9997,0.9983,0.9943,0.9987,0.9997,0.0005,0.0005,0.0005,0.0012,0.0005
190.562,0.9987,0.9977,0.9983,0.9987,0.997,0.0009,0.0005,0.0009,0.0009,0.0008,0.9997,0.9983,0.997,0.9997,0.9987,0.0005,0.0005,0,0.0005,0.0005,0.9997,0.9983,0.995,0.9983,0.999,0.0005,0.0005,0.0014,0.0009,0.0008
191.571,0.9983,0.9973,0.9983,0.997,0.9987,0.0005,0.0005,0.0012,0.0014,0.0012,1,0.9977,0.997,0.9997,0.9983,0,0.0005,0.0008,0.0005,0.0009,0.9997,0.9977,0.9947,0.9983,0.9987,0.0005,0.0005,0.0005,0.0009,0.0009
192.58,0.998,0.9977,0.9977,0.9983,0.9983,0.0008,0.0005,0.0017,0.0009,0.0005,0.999,0.9973,0.997,0.999,0.999,0.0008,0.0005,0,0.0014,0.0008,0.9997,0.9977,0.9947,0.9983,0.9993,0.0005,0.0012,0.0005,0.0009,0.0005
193.588,0.998,0.998,0.999,0.998,0.9987,0.0008,0.0008,0.0008,0.0022,0.0005,0.9983,0.9983,0.997,0.9983,0.9987,0.0005,0.0005,0,0.0017,0.0005,0.999,0.997,0.994,0.9977,0.9997,0.0014,0.0008,0.0008,0.0009,0.0005
