Time,WhiteAv,WhiteStDev,RGBAv,RGBStDev,RBAv,RBStDev,WhiteAv2,WhiteStDev2,RGBAv2,RGBStDev2,RBAv2,RBStDev2
0,0.251,0.0042,0.2563,0.0037,0.2567,0.0029,0.24,0.0071,0.2483,0.0033,0.254,0.0008
0.168,0.2513,0.0031,0.2553,0.0025,0.2567,0.0026,0.24,0.0086,0.249,0.005,0.2537,0.0024
0.336,0.2497,0.0026,0.254,0.0029,0.2587,0.0026,0.239,0.007,0.2477,0.0034,0.2537,0.0021
0.504,0.2477,0.0026,0.253,0.0029,0.256,0.0033,0.237,0.0064,0.25,0.0029,0.2537,0.0045
0.672,0.2477,0.0033,0.2523,0.0045,0.254,0.0028,0.24,0.0086,0.249,0.005,0.2537,0.0024
0.84,0.2473,0.0025,0.252,0.0043,0.257,0.0028,0.239,0.007,0.2477,0.0034,0.2537,0.0021
1.008,0.2487,0.0042,0.2523,0.0029,0.2537,0.0033,0.237,0.0064,0.2467,0.0029,0.2537,0.0045
1.176,0.2473,0.0025,0.2517,0.0037,0.255,0.0045,0.236,0.0071,0.246,0.0029,0.253,0.0037
1.344,0.245,0.0037,0.2517,0.0038,0.2523,0.0021,0.236666667,0.0068,0.247,0.0028,0.2507,0.0034
1.512,0.2447,0.0026,0.251,0.0043,0.256,0.0043,0.236333333,0.008,0.2483,0.0038,0.2517,0.0037
1.68,0.2457,0.0049,0.2537,0.004,0.2543,0.0021,0.233666667,0.0062,0.246,0.0033,0.2497,0.0037
1.848,0.2443,0.0049,0.2517,0.0026,0.2527,0.0037,0.236333333,0.0062,0.242,0.0028,0.2467,0.0039
2.016,0.246,0.0043,0.2487,0.0042,0.2507,0.0029,0.234666667,0.0085,0.2433,0.0038,0.246,0.0062
2.184,0.2443,0.0042,0.2477,0.0054,0.2493,0.0033,0.234666667,0.0075,0.244,0.0036,0.2483,0.0024
2.352,0.244,0.0016,0.249,0.0037,0.2487,0.0031,0.234,0.008,0.2417,0.0029,0.248,0.0029
2.52,0.2437,0.0025,0.2473,0.0049,0.2483,0.0045,0.234666667,0.0077,0.2423,0.0024,0.2463,0.0024
2.688,0.2453,0.0034,0.2483,0.0029,0.2487,0.0029,0.237666667,0.009,0.2433,0.0021,0.246,0.0029
2.856,0.2463,0.0026,0.247,0.0037,0.251,0.0043,0.238,0.0078,0.2437,0.0021,0.248,0.0036
3.024,0.247,0.0016,0.251,0.0028,0.2523,0.0033,0.239333333,0.0082,0.242,0.0028,0.2473,0.0039
3.192,0.2493,0.0019,0.25,0.0033,0.255,0.0029,0.239333333,0.0081,0.2427,0.0033,0.2483,0.0039
3.36,0.2497,0.0012,0.2513,0.0054,0.2547,0.0053,0.240666667,0.009,0.2433,0.0005,0.25,0.0024
3.528,0.2493,0.0019,0.2517,0.004,0.258,0.0029,0.241666667,0.0105,0.2453,0.0026,0.2513,0.0031
3.696,0.2507,0.0026,0.2523,0.0049,0.2593,0.0037,0.242666667,0.0085,0.2463,0.0037,0.253,0.0036
3.864,0.2537,0.0019,0.2547,0.0049,0.2607,0.0033,0.245,0.0085,0.2493,0.0037,0.2537,0.0019
4.032,0.2547,0.0017,0.2573,0.0034,0.2633,0.0026,0.248,0.0085,0.2503,0.0026,0.256,0.0037
4.2,0.2563,0.0005,0.2593,0.0033,0.266,0.0024,0.247666667,0.0097,0.254,0.0029,0.2577,0.0042
4.368,0.2573,0.0024,0.2603,0.0039,0.2687,0.0037,0.248333333,0.0095,0.254,0.0029,0.26,0.0022
4.536,0.2593,0.0031,0.2637,0.0056,0.2713,0.0019,0.251333333,0.0087,0.2573,0.0026,0.2623,0.0039
4.704,0.2607,0.0012,0.2657,0.0048,0.2743,0.0021,0.252666667,0.0083,0.2587,0.0039,0.263,0.0036
4.872,0.2633,0.0017,0.2683,0.0037,0.278,0.0037,0.256,0.0093,0.2603,0.0033,0.267,0.0016
5.04,0.265,0.0022,0.2687,0.0034,0.2787,0.0031,0.259,0.0116,0.264,0.0036,0.2683,0.0033
5.208,0.2657,0.0021,0.2703,0.0041,0.2823,0.0041,0.259,0.0092,0.2637,0.0024,0.272,0.0022
5.376,0.2683,0.0021,0.2713,0.0041,0.2847,0.0034,0.262666667,0.0104,0.265,0.0036,0.2733,0.0033
5.544,0.27,0.0028,0.2723,0.0054,0.287,0.0029,0.265333333,0.0102,0.2693,0.0034,0.275,0.0036
5.712,0.2743,0.0029,0.277,0.0041,0.2883,0.0045,0.264,0.0085,0.2697,0.0024,0.2767,0.0026
5.88,0.2733,0.0026,0.2763,0.0029,0.292,0.0014,0.268333333,0.0081,0.2743,0.0034,0.279,0.0033
6.048,0.277,0.0033,0.2803,0.0049,0.294,0.0041,0.268666667,0.0083,0.2737,0.0024,0.2807,0.0034
6.216,0.2777,0.0009,0.283,0.0054,0.297,0.0022,0.27,0.0092,0.2767,0.0012,0.2837,0.0033
6.384,0.2817,0.0037,0.2833,0.0037,0.3007,0.004,0.272,0.0071,0.279,0.0029,0.284,0.0029
6.552,0.2813,0.0017,0.2867,0.0054,0.305,0.0036,0.273666667,0.009,0.281,0.0022,0.289,0.0037
6.72,0.284,0.0029,0.287,0.0029,0.3027,0.0042,0.276,0.0092,0.2813,0.0048,0.2893,0.0029
6.888,0.2837,0.0009,0.2903,0.0054,0.306,0.0033,0.278666667,0.0091,0.283,0.0028,0.292,0.0033
