Wavelength,RGB,RB,White
400.067,18.95,16.25,21.27
400.427,17.38,15.97,20.98
400.787,17.52,17.11,21.7
401.146,18.52,15.97,21.41
401.506,19.38,15.54,22.7
401.866,19.52,16.83,24.56
402.225,19.24,17.11,25.41
402.585,19.67,18.11,25.84
402.944,19.95,16.54,25.84
403.304,21.95,15.97,27.13
403.663,18.81,15.68,25.84
404.022,19.38,16.83,29.56
404.382,18.52,16.97,29.27
404.741,18.95,16.83,31.7
405.1,18.67,17.11,32.13
405.46,19.81,16.68,37.13
405.819,20.38,17.11,45.27
406.178,20.95,15.97,41.41
406.537,20.67,16.97,45.98
406.897,20.81,17.4,47.84
407.256,20.24,16.83,51.13
407.615,24.67,18.97,59.27
407.974,23.1,18.97,60.7
408.333,22.95,20.25,66.7
408.692,22.81,18.83,70.98
409.051,22.1,18.11,75.41
409.41,22.1,18.11,80.13
409.768,22.52,18.25,89.56
410.127,23.52,19.54,94.7
410.486,22.67,19.97,103.56
410.845,22.1,21.25,109.27
411.204,25.1,21.25,118.41
411.562,25.38,21.54,130.41
411.921,24.38,21.25,136.98
412.28,26.1,20.97,146.84
412.638,26.67,23.68,159.56
412.997,26.81,24.4,172.41
413.355,25.95,25.4,180.56
413.714,27.67,26.4,187.41
414.072,27.52,27.97,203.27
414.431,27.1,29.11,212.84
414.789,28.1,30.25,227.7
415.148,29.81,29.54,243.27
415.506,31.38,29.83,248.7
415.864,31.67,32.68,279.84
416.222,31.24,35.25,294.7
416.581,30.95,37.11,303.27
416.939,31.1,36.83,326.27
417.297,31.52,37.97,340.84
417.655,34.24,39.54,348.98
418.013,32.95,41.97,373.56
418.371,34.1,45.68,385.7
418.729,35.67,47.4,417.7
419.087,35.52,48.54,424.98
419.445,34.95,51.97,450.56
419.803,38.95,57.4,474.13
420.161,39.81,59.54,498.27
420.519,39.67,58.54,509.27
420.877,42.52,63.68,539.98
421.235,41.81,68.4,559.56
421.592,41.38,70.83,563.98
421.95,45.1,77.54,607.84
422.308,45.52,79.11,621.13
422.665,48.24,82.83,646.27
423.023,48.38,88.11,668.84
423.381,51.1,94.83,713.98
423.738,52.81,101.11,734.84
424.096,57.24,105.68,756.41
424.453,57.67,109.68,768.27
424.811,57.52,114.11,800.98
425.168,62.95,125.68,822.27
425.526,62.95,134.83,853.56
425.883,66.1,143.97,889.7
426.24,70.95,147.54,892.13
426.597,70.81,159.97,922.13
426.955,76.52,172.11,954.98
427.312,75.38,175.68,966.56
427.669,75.81,183.25,967.41
428.026,84.95,198.4,1021.7
428.383,86.81,207.11,1030.7
428.74,89.95,220.25,1029.56
429.097,91.95,231.83,1046.98
429.454,99.24,246.83,1078.84
429.811,102.38,268.25,1108.7
430.168,106.67,276.83,1106.7
430.525,112.24,292.68,1123.84
430.882,116.52,307.97,1145.84
431.239,122.38,336.11,1177.56
431.596,124.95,340.54,1158.41
431.953,132.52,362.83,1191.13
432.309,143.95,400.97,1245.27
432.666,146.67,417.4,1242.41
433.023,153.24,443.68,1256.98
433.379,157.95,451.25,1235.56
433.736,170.81,492.54,1260.98
434.092,177.67,513.25,1254.7
434.449,189.1,558.54,1306.27
434.805,202.95,590.97,1302.56
435.162,208.24,616.83,1293.56
435.518,221.24,653.68,1299.41
435.875,233.95,710.83,1328.13
436.231,237.24,715.4,1268.27
436.587,255.81,778.68,1299.41
436.944,262.67,804.68,1278.84
437.3,273.38,857.4,1279.98
437.656,294.52,911.97,1286.27
438.012,304.1,967.4,1275.98
438.368,329.52,1041.25,1301.56
438.725,338.52,1068.54,1261.7
439.081,346.38,1128.83,1234.56
439.437,367.67,1192.97,1238.27
439.793,383.38,1253.4,1207.7
