PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,1
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,1
0,0.705333333,0.000942809,0,0,0,0,0,0,1,0,1,0,0,0,RB,1
1,0.682666667,0.001885618,0.010333333,0.001247219,0.034333333,0.004027682,0.043,0.004966555,0.977666667,0.000471405,0.929,0.001632993,0.3,0,RB,1
2,0.682,0.001414214,0.009333333,0.001247219,0.030333333,0.004988877,0.038333333,0.005792716,0.975666667,0.000942809,0.923333333,0.003399346,0.6,0,RB,1
11,0.645,0.004082483,0.014666667,0.001699673,0.043666667,0.004496913,0.054,0.004966555,0.926333333,0.006649979,0.792,0.016309506,3,0,RB,1
31,0.536333333,0.020336065,0.020666667,0.000942809,0.047333333,0.001699673,0.058,0.002160247,0.771333333,0.028940552,0.508,0.042708313,7,0.282842712,RB,1
55,0.485,0.017720045,0.033333333,0.002357023,0.069666667,0.003299832,0.083666667,0.003299832,0.701,0.024913183,0.421333333,0.029044028,11.2,0.424264069,RB,1
80,0.463666667,0.012364825,0.047,0.002828427,0.095666667,0.004027682,0.112,0.004320494,0.675666667,0.016819301,0.396,0.018239152,15.56666667,0.449691252,RB,1
114,0.452666667,0.008956686,0.059,0.003559026,0.120666667,0.005436502,0.138,0.005656854,0.664333333,0.011953614,0.387333333,0.012283684,21.66666667,0.38586123,RB,1
150,0.451,0.006683313,0.068666667,0.003681787,0.142666667,0.006944222,0.16,0.006531973,0.666666667,0.008653837,0.392333333,0.008576454,28.43333333,0.418993503,RB,1
195,0.45,0.00509902,0.076333333,0.004189935,0.161333333,0.008498366,0.178,0.008041559,0.668666667,0.00601849,0.397333333,0.005557777,36.86666667,0.38586123,RB,1
260,0.440333333,0.004189935,0.084,0.004320494,0.177,0.010614456,0.192333333,0.009672412,0.656666667,0.005312459,0.386666667,0.004988877,48.06666667,0.464279609,RB,1
345,0.412333333,0.004921608,0.092333333,0.004714045,0.186666667,0.011728408,0.201666667,0.010338708,0.616333333,0.007408704,0.347666667,0.006847546,59.73333333,0.703957069,RB,1
440,0.373666667,0.004988877,0.100666667,0.005249339,0.191666667,0.012684198,0.205666667,0.011323525,0.559333333,0.008055364,0.297,0.007071068,69,0.962635272,RB,1
556,0.328,0.004082483,0.108666667,0.005436502,0.193333333,0.011953614,0.207,0.010708252,0.491666667,0.006599663,0.243666667,0.005557777,76.6,1.061445555,RB,1
690,0.282333333,0.003681787,0.116,0.005354126,0.193,0.011045361,0.207,0.009416298,0.423333333,0.005312459,0.196,0.003741657,81.83333333,1.033870828,RB,1
844,0.239666667,0.003091206,0.122333333,0.005312459,0.191666667,0.010208929,0.206,0.008981462,0.358666667,0.004642796,0.156666667,0.002494438,84.9,1.067707825,RB,1
1007,0.203666667,0.003091206,0.129,0.004898979,0.193,0.009416298,0.207,0.007788881,0.305,0.004242641,0.127333333,0.002624669,86.1,1.20277457,RB,1
1207,0.169666667,0.002494438,0.136,0.005354126,0.195333333,0.009177267,0.208666667,0.007930252,0.254,0.003741657,0.101666667,0.001699673,85.86666667,1.291854825,RB,1
1414,0.142,0.00244949,0.143666667,0.005792716,0.200666667,0.009285592,0.213333333,0.00837987,0.212666667,0.003299832,0.082666667,0.001699673,84.13333333,1.347425529,RB,1
1689,0.114666667,0.002494438,0.151333333,0.00601849,0.207,0.010033278,0.218666667,0.008339997,0.172666667,0.003299832,0.065333333,0.001247219,81.43333333,1.488474237,RB,1
1995,0.092333333,0.001699673,0.162333333,0.006649979,0.217666667,0.011145502,0.228333333,0.00946338,0.139,0.00244949,0.052,0.000816497,77.33333333,1.352364185,RB,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RB,1
