PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,1
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,RGB,1
0,0.704666667,0.001247219,0,0,0,0,0,0,1,0,1,0,0,0,RGB,1
1,0.682666667,0.001885618,0.007666667,0.000471405,0.025333333,0.001699673,0.032,0.002160247,0.976333333,0.001247219,0.924333333,0.003399346,0.3,0,RGB,1
2,0.681333333,0.003091206,0.005666667,0.001247219,0.017333333,0.003858612,0.022333333,0.005249339,0.972,0.00244949,0.912,0.006531973,0.6,0,RGB,1
11,0.634333333,0.004921608,0.012,0.001632993,0.032666667,0.004921608,0.040666667,0.005734884,0.908666667,0.004988877,0.750333333,0.009741093,2.933333333,0.047140452,RGB,1
31,0.525,0.010984838,0.02,0.003741657,0.044333333,0.007717225,0.054666667,0.008956686,0.754666667,0.013474255,0.484333333,0.01675974,6.833333333,0.124721913,RGB,1
55,0.482333333,0.006342099,0.034,0.004242641,0.070333333,0.009104334,0.084666667,0.010208929,0.698666667,0.007408704,0.418333333,0.007586538,11.13333333,0.124721913,RGB,1
80,0.47,0.003559026,0.045333333,0.004988877,0.093666667,0.010274023,0.11,0.011518102,0.685333333,0.004027682,0.406333333,0.004189935,15.8,0.141421356,RGB,1
114,0.464,0.00294392,0.055666667,0.004109609,0.116,0.010230673,0.133333333,0.010656245,0.681,0.002828427,0.404666667,0.002494438,22.23333333,0.124721913,RGB,1
150,0.463333333,0.002054805,0.063333333,0.004496913,0.134333333,0.010656245,0.152,0.010230673,0.683666667,0.001699673,0.410666667,0.001247219,29.2,0.163299316,RGB,1
195,0.458333333,0.002054805,0.070666667,0.004109609,0.150333333,0.010208929,0.167666667,0.009809293,0.679333333,0.002054805,0.408,0.001414214,37.53333333,0.205480467,RGB,1
260,0.437666667,0.002494438,0.079,0.003741657,0.163666667,0.008993825,0.18,0.008602325,0.651,0.002828427,0.379333333,0.002624669,47.8,0.294392029,RGB,1
345,0.397333333,0.002624669,0.088333333,0.003681787,0.171666667,0.008576454,0.187666667,0.007760298,0.592333333,0.002624669,0.324,0.002160247,57.6,0.355902608,RGB,1
440,0.352,0.002160247,0.097,0.003265986,0.176,0.00697615,0.192,0.006164414,0.525,0.00294392,0.267666667,0.002054805,64.96666667,0.38586123,RGB,1
556,0.303,0.002160247,0.105333333,0.003299832,0.178,0.00697615,0.193666667,0.005792716,0.452,0.00294392,0.214,0.001632993,70.7,0.509901951,RGB,1
690,0.256,0.001632993,0.113333333,0.002494438,0.179666667,0.004189935,0.195,0.003741657,0.382666667,0.002054805,0.170333333,0.000942809,74.2,0.489897949,RGB,1
844,0.214333333,0.001699673,0.120333333,0.001699673,0.181,0.00294392,0.196333333,0.002494438,0.320666667,0.002054805,0.135,0.000816497,76.03333333,0.573488351,RGB,1
1007,0.180666667,0.001247219,0.127,0.001632993,0.183666667,0.003299832,0.198666667,0.002494438,0.269666667,0.001247219,0.109666667,0.000471405,76.3,0.535412613,RGB,1
1207,0.149,0.001414214,0.135,0.000816497,0.188666667,0.001699673,0.203,0.001414214,0.223,0.001414214,0.087333333,0.000471405,75.46666667,0.612825877,RGB,1
