WhiteAv,WhiteStDev,RGBAv,RGBStDev,RBAv,RBStDev,Wavelength,Rep
0.171,0.002,0.178,0.004,0.175,0.002,440,1
0.176,0.002,0.184,0.005,0.182,0.002,480,1
0.446,0.005,0.466,0.013,0.472,0.01,540,1
0.605,0.007,0.619,0.021,0.623,0.016,590,1
0.426,0.004,0.425,0.009,0.434,0.009,625,1
0.187,0.007,0.196,0.008,0.192,0.004,440,2
0.195,0.007,0.203,0.008,0.204,0.004,480,2
0.49,0.016,0.511,0.018,0.527,0.015,540,2
0.672,0.025,0.683,0.029,0.694,0.03,590,2
0.454,0.01,0.468,0.015,0.478,0.011,625,2
0.196,0.003,0.209,0.002,0.197,0.004,440,3
0.203,0.004,0.215,0.002,0.207,0.004,480,3
0.497,0.013,0.529,0.006,0.522,0.016,540,3
0.673,0.019,0.693,0.016,0.694,0.016,590,3
0.458,0.009,0.481,0.007,0.478,0.009,625,3
0.19,0.005,0.185,0.006,0.179,0.003,440,4
0.191,0.008,0.192,0.004,0.184,0.004,480,4
0.46,0.018,0.458,0.003,0.451,0.009,540,4
0.619,0.026,0.61,0.003,0.596,0.011,590,4
0.432,0.013,0.431,0.004,0.43,0.007,625,4
0.189,0,0.192,0.005,0.185,0.004,440,5
0.19,0.001,0.19,0.005,0.191,0.002,480,5
0.454,0.007,0.454,0.012,0.462,0.008,540,5
0.611,0.014,0.603,0.022,0.621,0.01,590,5
0.432,0.005,0.425,0.008,0.431,0.007,625,5
