440,480,540,590,625,Phenobottle Number,Day Number
3.24,2.451,0.713,1.308,1.613,White,1
3.121,2.487,0.768,1.392,1.756,White,1
3.462,2.771,0.843,1.552,1.858,White,1
3.354,2.638,0.8,1.457,1.783,RB,1
3.167,2.476,0.753,1.399,1.684,RGB,1
3.29,2.505,0.734,1.333,1.669,RGB,1
3.079,2.403,0.708,1.282,1.586,RGB,1
3.4,2.746,0.842,1.585,1.899,RB,1
3.375,2.66,0.816,1.507,1.793,RB,1
3.136,2.452,0.73,1.306,1.616,White,2
2.867,2.274,0.667,1.195,1.491,White,2
3.047,2.435,0.724,1.282,1.603,White,2
2.981,2.286,0.663,1.184,1.485,RB,2
2.788,2.225,0.657,1.182,1.5,RGB,2
3.169,2.375,0.691,1.278,1.584,RGB,2
2.803,2.199,0.65,1.174,1.476,RGB,2
2.676,2.08,0.586,1.035,1.342,RB,2
3.147,2.276,0.672,1.236,1.49,RB,2
2.9,2.253,0.68,1.222,1.518,White,3
2.642,2.059,0.625,1.121,1.43,White,3
2.756,2.188,0.676,1.229,1.523,White,3
2.613,2.043,0.598,1.045,1.356,RB,3
2.572,2.039,0.623,1.086,1.398,RGB,3
2.607,2.074,0.624,1.132,1.421,RGB,3
2.659,2.04,0.631,1.175,1.448,RGB,3
2.697,2.062,0.606,1.096,1.428,RB,3
2.695,2.096,0.613,1.082,1.419,RB,3
2.625,2.092,0.673,1.215,1.529,WHITE,4
2.678,2.152,0.68,1.238,1.537,WHITE,4
2.809,2.299,0.736,1.34,1.632,WHITE,4
2.898,2.229,0.702,1.289,1.57,RGB,4
2.678,2.114,0.692,1.273,1.552,RGB,4
2.758,2.172,0.699,1.277,1.584,RGB,4
2.811,2.208,0.69,1.275,1.537,RB,4
2.893,2.272,0.721,1.333,1.591,RB,4
2.94,2.333,0.716,1.321,1.592,RB,4
2.705,2.18,0.69,1.253,1.544,WHITE,5
2.718,2.203,0.709,1.262,1.572,WHITE,5
2.721,2.183,0.715,1.32,1.585,WHITE,5
2.772,2.275,0.723,1.351,1.626,RGB,5
2.677,2.182,0.711,1.307,1.593,RGB,5
2.603,2.125,0.681,1.236,1.556,RGB,5
2.731,2.149,0.681,1.245,1.547,RB,5
2.875,2.222,0.71,1.287,1.605,RB,5
2.719,2.184,0.688,1.24,1.558,RB,5
