PAR,Y(II),Y(II)StDev,Y(NPQ),Y(NPQ)StDev,NPQ,NPQStDev,qN,qNStDev,qP,qPStDev,qL,qLStDev,ETR,ETRStDev,Light,Rep
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,1
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,1
0,0.714666667,0.001247219,0,0,0,0,0,0,1,0,1,0,0,0,WHITE,1
1,0.691666667,0.000471405,0.005666667,0.000471405,0.018333333,0.002357023,0.023666667,0.003299832,0.973666667,0.000471405,0.915,0.001414214,0.3,0,WHITE,1
2,0.694333333,0.001699673,0.005333333,0.001885618,0.018333333,0.005436502,0.022666667,0.006599663,0.976666667,0.002494438,0.923333333,0.007133645,0.6,0,WHITE,1
11,0.648333333,0.007845735,0.008666667,0.001699673,0.025666667,0.004496913,0.032333333,0.005436502,0.913666667,0.009285592,0.755666667,0.021638443,2.966666667,0.047140452,WHITE,1
31,0.529,0.012961481,0.016333333,0.001699673,0.035666667,0.002867442,0.044333333,0.003299832,0.748,0.017146428,0.465333333,0.021638443,6.9,0.141421356,WHITE,1
55,0.485333333,0.007318166,0.028333333,0.000471405,0.057666667,0.000471405,0.07,0,0.690666667,0.009672412,0.399,0.009899495,11.23333333,0.169967317,WHITE,1
80,0.476666667,0.005792716,0.038666667,0.001699673,0.079,0.004242641,0.094,0.004966555,0.682333333,0.008178563,0.393,0.008981462,16.03333333,0.169967317,WHITE,1
114,0.474333333,0.006599663,0.047666667,0.003091206,0.100333333,0.008956686,0.116333333,0.008956686,0.682666667,0.009741093,0.396666667,0.011728408,22.7,0.294392029,WHITE,1
150,0.470666667,0.007845735,0.054,0.004320494,0.115,0.012083046,0.131333333,0.012552114,0.680333333,0.01302135,0.396333333,0.014974052,29.66666667,0.492160769,WHITE,1
195,0.452666667,0.009843215,0.061666667,0.005436502,0.127,0.0143527,0.143333333,0.014055446,0.656666667,0.015520596,0.372333333,0.017307673,37.06666667,0.821921867,WHITE,1
260,0.413333333,0.011897712,0.069666667,0.006236096,0.135666667,0.016048537,0.151666667,0.015434449,0.601,0.018184242,0.319666667,0.017172329,45.1,1.31402689,WHITE,1
345,0.359,0.012832251,0.078333333,0.007408704,0.139333333,0.017133463,0.156,0.016673332,0.522333333,0.019154344,0.255666667,0.014884742,52,1.854723699,WHITE,1
440,0.307,0.012754084,0.085,0.008602325,0.141,0.016872068,0.157333333,0.01675974,0.447333333,0.018838495,0.202666667,0.012229291,56.76666667,2.383741224,WHITE,1
556,0.257333333,0.011556624,0.091666667,0.008653837,0.141,0.016673332,0.157333333,0.01575507,0.374333333,0.016579773,0.158,0.009416298,60.1,2.687005769,WHITE,1
690,0.212666667,0.009672412,0.097666667,0.00946338,0.142,0.016083117,0.158333333,0.015173076,0.309666667,0.01461354,0.123,0.007118052,61.63333333,2.859292842,WHITE,1
844,0.175333333,0.008806563,0.104333333,0.009843215,0.144666667,0.015860503,0.161,0.01496663,0.255333333,0.012283684,0.097333333,0.00518545,62.1,3.009983389,WHITE,1
1007,0.145333333,0.007408704,0.111333333,0.010338708,0.150333333,0.01596524,0.166,0.015513435,0.212333333,0.010208929,0.078333333,0.004496913,61.6,3.101612484,WHITE,1
1207,0.119333333,0.00601849,0.120333333,0.010873004,0.159,0.016673332,0.174333333,0.01575507,0.174333333,0.008806563,0.062666667,0.003299832,60.4,3.059411708,WHITE,1
1414,0.098333333,0.005436502,0.132,0.012355835,0.171333333,0.019136933,0.186,0.017281975,0.144333333,0.007586538,0.051333333,0.003091206,58.4,3.234192326,WHITE,1
1689,0.078333333,0.004109609,0.145333333,0.014817407,0.188,0.022759613,0.200666667,0.02013841,0.115,0.005887841,0.04,0.002160247,55.26666667,2.914713632,WHITE,1
1995,0.062,0.003265986,0.161666667,0.01798765,0.209,0.02906315,0.219,0.024097026,0.092,0.004546061,0.032,0.001414214,52.03333333,2.656229575,WHITE,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,1
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,2
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,2
0,0.725333333,0.002357023,0,0,0,0,0,0,1,0,1,0,0,0,WHITE,2
1,0.705,0.001632993,0.004333333,0.000942809,0.015333333,0.003299832,0.019,0.003741657,0.975333333,0.001699673,0.917,0.00509902,0.3,0,WHITE,2
2,0.709333333,0.002624669,0.003333333,0.000942809,0.013,0.003559026,0.016333333,0.004496913,0.981333333,0.002867442,0.935,0.008981462,0.6,0,WHITE,2
11,0.680666667,0.00946338,0.005333333,0.000942809,0.017,0.003559026,0.021,0.004320494,0.942,0.013490738,0.819333333,0.0359753,3.133333333,0.047140452,WHITE,2
31,0.610333333,0.024115463,0.008666667,0.002357023,0.022,0.004966555,0.027666667,0.005906682,0.846,0.032444825,0.608333333,0.058630671,7.966666667,0.286744176,WHITE,2
55,0.569666667,0.024783507,0.016333333,0.004027682,0.039333333,0.007542472,0.048,0.008485281,0.793,0.033416563,0.522333333,0.049276995,13.16666667,0.579271573,WHITE,2
80,0.549666667,0.019955506,0.025333333,0.004784233,0.059666667,0.00946338,0.071666667,0.010208929,0.77,0.027067816,0.490333333,0.036609046,18.46666667,0.659966329,WHITE,2
114,0.535333333,0.014522014,0.034333333,0.006182412,0.079,0.013490738,0.092666667,0.014429907,0.753333333,0.018571184,0.470666667,0.022837591,25.63333333,0.703957069,WHITE,2
150,0.525,0.011045361,0.041666667,0.007408704,0.096333333,0.016779617,0.110666667,0.017249799,0.742666667,0.012657892,0.457666667,0.013912425,33.06666667,0.65489609,WHITE,2
195,0.504,0.009201449,0.049,0.008524475,0.109333333,0.019567547,0.124666667,0.019344824,0.715333333,0.010498677,0.426,0.010198039,41.3,0.778888096,WHITE,2
260,0.462333333,0.011469767,0.056666667,0.010208929,0.117666667,0.024280765,0.132666667,0.023584364,0.657666667,0.014383633,0.363333333,0.013274872,50.46666667,1.271045064,WHITE,2
345,0.405333333,0.013523642,0.064666667,0.01302135,0.122666667,0.027824849,0.137666667,0.027108834,0.577,0.017454703,0.289333333,0.014383633,58.7,1.930457631,WHITE,2
440,0.348333333,0.013199327,0.070666667,0.015839472,0.122666667,0.031351059,0.137333333,0.030180936,0.496333333,0.018208667,0.227,0.012754084,64.4,2.485960579,WHITE,2
556,0.293333333,0.012918548,0.076,0.019131126,0.121666667,0.034893489,0.136,0.033950945,0.417333333,0.018080069,0.176,0.010677078,68.46666667,3.037908637,WHITE,2
690,0.243,0.011224972,0.079333333,0.02107658,0.119,0.036083237,0.133,0.035393031,0.345666667,0.016213849,0.135666667,0.008339997,70.46666667,3.331999733,WHITE,2
844,0.2,0.009626353,0.084666667,0.023626727,0.119333333,0.037967823,0.133333333,0.037276743,0.284666667,0.013960261,0.106,0.006480741,70.93333333,3.408160142,WHITE,2
1007,0.166,0.008640988,0.089333333,0.025978624,0.121333333,0.040077702,0.135333333,0.039381327,0.236666667,0.012498889,0.084333333,0.005436502,70.26666667,3.657260663,WHITE,2
1207,0.135333333,0.007586538,0.095,0.026919633,0.125,0.04032369,0.139,0.038910153,0.193,0.010614456,0.066333333,0.004642796,68.7,3.706750599,WHITE,2
1414,0.111666667,0.006342099,0.102,0.028390139,0.131333333,0.041555853,0.145,0.039673669,0.159666667,0.008993825,0.053666667,0.003399346,66.4,3.805259518,WHITE,2
1689,0.088666667,0.005557777,0.110666667,0.028592928,0.14,0.042457822,0.153666667,0.039885949,0.127,0.007788881,0.042,0.00294392,63,3.811386449,WHITE,2
1995,0.07,0.004320494,0.122333333,0.029533409,0.153,0.043181786,0.166,0.039673669,0.100666667,0.006128259,0.033,0.002160247,58.76666667,3.627977704,WHITE,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,2
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,3
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,3
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,WHITE,3
